DLTask3,DCTask3,RLTask3,RCTask3,CTask3
16897 milliseconds,6042 milliseconds,2472 milliseconds,8576 milliseconds,7511 milliseconds
58861 milliseconds,20932 milliseconds,2237 milliseconds,12174 milliseconds,8445 milliseconds
56264 milliseconds,5610 milliseconds,15891 milliseconds,2766 milliseconds,763 milliseconds
13081 milliseconds,14064 milliseconds,4724 milliseconds,21063 milliseconds,3030 milliseconds
15987 milliseconds,7674 milliseconds,6112 milliseconds,16130 milliseconds,7379 milliseconds
11029 milliseconds,9789 milliseconds,3916 milliseconds,4979 milliseconds,3233 milliseconds
25834 milliseconds,5111 milliseconds,4129 milliseconds,9485 milliseconds,10297 milliseconds
11393 milliseconds,11310 milliseconds,1628 milliseconds,7878 milliseconds,1462 milliseconds
15899 milliseconds,11043 milliseconds,8319 milliseconds,15561 milliseconds,4640 milliseconds
42390 milliseconds,9286 milliseconds,21264 milliseconds,27040 milliseconds,2434 milliseconds
59390 milliseconds,17170 milliseconds,2427 milliseconds,6136 milliseconds,5273 milliseconds
9871 milliseconds,9159 milliseconds,2741 milliseconds,11472 milliseconds,1927 milliseconds
15961 milliseconds,3928 milliseconds,2079 milliseconds,9496 milliseconds,4135 milliseconds
12924 milliseconds,20639 milliseconds,7328 milliseconds,34083 milliseconds,6829 milliseconds
13257 milliseconds,7595 milliseconds,3993 milliseconds,10354 milliseconds,8500 milliseconds
15697 milliseconds,16963 milliseconds,5826 milliseconds,9860 milliseconds,1255 milliseconds
23274 milliseconds,8105 milliseconds,2644 milliseconds,10250 milliseconds,4515 milliseconds
8884 milliseconds,3807 milliseconds,2194 milliseconds,7448 milliseconds,6518 milliseconds
86041 milliseconds,12734 milliseconds,8091 milliseconds,17348 milliseconds,7104 milliseconds
11572 milliseconds,4065 milliseconds,7213 milliseconds,10479 milliseconds,3933 milliseconds
11421 milliseconds,7394 milliseconds,1312 milliseconds,5919 milliseconds,778 milliseconds
