DLTask2,DCTask2,RLTask2,RCTask2,CTask2
2775 milliseconds,2775 milliseconds,2775 milliseconds,2775 milliseconds,2775 milliseconds
24502 milliseconds,14594 milliseconds,2995 milliseconds,2787 milliseconds,4591 milliseconds
21321 milliseconds,6558 milliseconds,2884 milliseconds,1823 milliseconds,3941 milliseconds
22333 milliseconds,6772 milliseconds,1372 milliseconds,2634 milliseconds,1800 milliseconds
16150 milliseconds,11142 milliseconds,3909 milliseconds,2510 milliseconds,4167 milliseconds
57508 milliseconds,9015 milliseconds,3360 milliseconds,6401 milliseconds,2432 milliseconds
2344 milliseconds,3202 milliseconds,16097 milliseconds,4111 milliseconds,1578 milliseconds
43376 milliseconds,7312 milliseconds,5862 milliseconds,7490 milliseconds,3389 milliseconds
22476 milliseconds,14288 milliseconds,1981 milliseconds,54599 milliseconds,760 milliseconds
9655 milliseconds,6195 milliseconds,5461 milliseconds,2843 milliseconds,4971 milliseconds
43211 milliseconds,12598 milliseconds,13122 milliseconds,2600 milliseconds,2250 milliseconds
23136 milliseconds,25972 milliseconds,8358 milliseconds,3739 milliseconds,2699 milliseconds
16311 milliseconds,5424 milliseconds,1631 milliseconds,1936 milliseconds,2286 milliseconds
17783 milliseconds,6743 milliseconds,1878 milliseconds,7039 milliseconds,3246 milliseconds
8184 milliseconds,7591 milliseconds,6797 milliseconds,3984 milliseconds,4670 milliseconds
20103 milliseconds,14284 milliseconds,6125 milliseconds,2758 milliseconds,8370 milliseconds
41957 milliseconds,8911 milliseconds,2123 milliseconds,2152 milliseconds,6736 milliseconds
20655 milliseconds,9452 milliseconds,2904 milliseconds,6093 milliseconds,6750 milliseconds
34715 milliseconds,6686 milliseconds,2164 milliseconds,2110 milliseconds,2914 milliseconds
25801 milliseconds,42497 milliseconds,8453 milliseconds,5619 milliseconds,5353 milliseconds
10581 milliseconds,5756 milliseconds,2001 milliseconds,3779 milliseconds,5343 milliseconds
9787 milliseconds,9787 milliseconds,1297 milliseconds,2542 milliseconds,2047 milliseconds
