DLTask3,DCTask3,RLTask3,RCTask3,CTask3
16897 milliseconds,6042 milliseconds,2472 milliseconds,8576 milliseconds,7511 milliseconds
58861 milliseconds,20932 milliseconds,2237 milliseconds,12174 milliseconds,8445 milliseconds
56264 milliseconds,5610 milliseconds,15891 milliseconds,2766 milliseconds,763 milliseconds
13081 milliseconds,14064 milliseconds,4724 milliseconds,21063 milliseconds,3030 milliseconds
15987 milliseconds,7674 milliseconds,6112 milliseconds,16130 milliseconds,7379 milliseconds
11029 milliseconds,9789 milliseconds,3916 milliseconds,4979 milliseconds,3233 milliseconds
25834 milliseconds,5111 milliseconds,4129 milliseconds,9485 milliseconds,10297 milliseconds
11393 milliseconds,11310 milliseconds,1628 milliseconds,7878 milliseconds,1462 milliseconds
15899 milliseconds,11043 milliseconds,8319 milliseconds,15561 milliseconds,4640 milliseconds
42390 milliseconds,9286 milliseconds,21264 milliseconds,27040 milliseconds,2434 milliseconds
59390 milliseconds,17170 milliseconds,2427 milliseconds,6136 milliseconds,5273 milliseconds
9871 milliseconds,9159 milliseconds,2741 milliseconds,11472 milliseconds,1927 milliseconds
15961 milliseconds,3928 milliseconds,2079 milliseconds,9496 milliseconds,4135 milliseconds
12924 milliseconds,20639 milliseconds,7328 milliseconds,34083 milliseconds,6829 milliseconds
13257 milliseconds,7595 milliseconds,3993 milliseconds,10354 milliseconds,8500 milliseconds
15697 milliseconds,16963 milliseconds,5826 milliseconds,9860 milliseconds,1255 milliseconds
23274 milliseconds,8105 milliseconds,2644 milliseconds,10250 milliseconds,4515 milliseconds
8884 milliseconds,3807 milliseconds,2194 milliseconds,7448 milliseconds,6518 milliseconds
86041 milliseconds,12734 milliseconds,8091 milliseconds,17348 milliseconds,7104 milliseconds
11572 milliseconds,4065 milliseconds,7213 milliseconds,10479 milliseconds,3933 milliseconds
11421 milliseconds,7394 milliseconds,1312 milliseconds,5919 milliseconds,778 milliseconds
11509 milliseconds,5062 milliseconds,1931 milliseconds,3608 milliseconds,3003 milliseconds
13978 milliseconds,3796 milliseconds,1795 milliseconds,4194 milliseconds,1496 milliseconds
7435 milliseconds,6924 milliseconds,1059 milliseconds,3311 milliseconds,1103 milliseconds
9409 milliseconds,6689 milliseconds,2860 milliseconds,7634 milliseconds,2046 milliseconds
5706 milliseconds,4948 milliseconds,1497 milliseconds,4057 milliseconds,2623 milliseconds
21500 milliseconds,8305 milliseconds,3401 milliseconds ,7488 milliseconds,3739 milliseconds
62146 milliseconds,4397 milliseconds,2082 milliseconds,2175 milliseconds,2174 milliseconds
10472 milliseconds,4694 milliseconds,1483 milliseconds,3686 milliseconds,2764 milliseconds
5692 milliseconds,4700 milliseconds,4153 milliseconds,5822 milliseconds,2511 milliseconds
8917 milliseconds,9216 milliseconds,2390 milliseconds,4464 milliseconds,1680 milliseconds
15539 milliseconds,15322 milliseconds,2384 milliseconds,3778 milliseconds,18140 milliseconds
4553 milliseconds,2679 milliseconds,878 milliseconds,1813 milliseconds,1207 milliseconds
5767 milliseconds,4791 milliseconds,3207 milliseconds,3487 milliseconds,1200 milliseconds
7745 milliseconds,15649 milliseconds,13292 milliseconds,11163 milliseconds,23749 milliseconds
10899 milliseconds,10064 milliseconds,9758 milliseconds,2196 milliseconds,5242 milliseconds
13263 milliseconds,6449 milliseconds,2320 milliseconds,3471 milliseconds,1541 milliseconds
9115 milliseconds,8105 milliseconds,2270 milliseconds,7984 milliseconds,1723 milliseconds
5716 milliseconds,4206 milliseconds,1629 milliseconds,1141 milliseconds,1915 milliseconds
50373 milliseconds,37695 milliseconds,5333 milliseconds,7672 milliseconds,5094 milliseconds
14302 milliseconds,5004 milliseconds,4142 milliseconds,3486 milliseconds,3340 milliseconds
10493 milliseconds,9405 milliseconds,998 milliseconds,2369 milliseconds,1455 milliseconds
